learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.05,50.0,3.0,0.7058823529411765,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.7272727272727272
0.05,50.0,5.0,0.7647058823529411,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8484848484848485
0.001,30.0,3.0,0.7058823529411765,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.696969696969697
0.001,30.0,5.0,0.6470588235294118,0.625,0.5,0.8333333333333334,0.6818181818181818
0.1,50.0,5.0,0.7058823529411765,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.7272727272727272
0.001,50.0,3.0,0.7058823529411765,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.6818181818181818
0.001,50.0,5.0,0.7058823529411765,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.696969696969697
0.1,30.0,5.0,0.7647058823529411,0.6,0.75,0.5,0.8181818181818181
0.1,30.0,3.0,0.7058823529411765,0.5454545454545454,0.6,0.5,0.7424242424242424
0.1,10.0,3.0,0.35294117647058826,0.5217391304347826,0.35294117647058826,1.0,0.696969696969697
0.05,10.0,5.0,0.35294117647058826,0.47619047619047616,0.3333333333333333,0.8333333333333334,0.696969696969697
0.1,10.0,5.0,0.35294117647058826,0.47619047619047616,0.3333333333333333,0.8333333333333334,0.696969696969697
0.001,10.0,3.0,0.35294117647058826,0.47619047619047616,0.3333333333333333,0.8333333333333334,0.6818181818181818
0.05,10.0,3.0,0.35294117647058826,0.47619047619047616,0.3333333333333333,0.8333333333333334,0.696969696969697
0.001,10.0,5.0,0.35294117647058826,0.47619047619047616,0.3333333333333333,0.8333333333333334,0.696969696969697
0.05,30.0,5.0,0.6470588235294118,0.0,0.0,0.0,0.8484848484848485
0.1,50.0,3.0,0.6470588235294118,0.0,0.0,0.0,0.8787878787878788
0.05,30.0,3.0,0.6470588235294118,0.0,0.0,0.0,0.712121212121212
