learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.2,0.1,0.8333333333333334,0.8444444444444444,0.9120370370370371
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.1,0.8333333333333334,0.8444444444444444,0.8935185185185186
0.05,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.8333333333333334,0.8444444444444444,0.8912037037037037
0.1,30.0,5.0,64.0,2.0,2.0,0.2,0.1,0.2,0.8333333333333334,0.8444444444444444,0.8865740740740742
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.8333333333333334,0.8444444444444444,0.9074074074074074
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.8333333333333334,0.8444444444444444,0.8912037037037037
0.001,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.2,0.8333333333333334,0.8444444444444444,0.9236111111111112
0.001,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.8333333333333334,0.8444444444444444,0.8888888888888891
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.8333333333333334,0.8444444444444444,0.8773148148148148
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.8333333333333334,0.8444444444444444,0.875
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.8333333333333334,0.8444444444444444,0.8981481481481481
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.2,0.8333333333333334,0.8444444444444444,0.9120370370370371
0.001,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.8333333333333334,0.8444444444444444,0.8842592592592594
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.2,0.2,0.8333333333333334,0.8444444444444444,0.8958333333333334
0.001,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.8333333333333334,0.8444444444444444,0.9097222222222222
0.1,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.2,0.8095238095238095,0.84,0.8541666666666666
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.8333333333333334,0.8372093023255814,0.8773148148148149
0.001,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.8333333333333334,0.8372093023255814,0.9027777777777778
0.05,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.8333333333333334,0.8372093023255814,0.9027777777777778
0.001,10.0,3.0,128.0,2.0,1.0,0.2,0.2,0.1,0.8333333333333334,0.8372093023255814,0.8912037037037037
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.8333333333333334,0.8372093023255814,0.9097222222222222
0.001,10.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.8333333333333334,0.8372093023255814,0.9166666666666667
0.001,10.0,5.0,64.0,2.0,1.0,0.1,0.2,0.2,0.8095238095238095,0.8333333333333334,0.8171296296296295
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.8095238095238095,0.8333333333333334,0.8726851851851852
0.001,10.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.8095238095238095,0.8333333333333334,0.8634259259259258
0.001,10.0,3.0,64.0,3.0,1.0,0.2,0.2,0.1,0.8095238095238095,0.8333333333333334,0.9120370370370371
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.8095238095238095,0.8333333333333334,0.8564814814814815
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.8095238095238095,0.8333333333333334,0.9074074074074074
0.001,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.8095238095238095,0.8333333333333334,0.8865740740740741
0.05,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.8333333333333334,0.8292682926829268,0.9120370370370371
0.001,10.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.8095238095238095,0.8260869565217391,0.8564814814814815
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.8095238095238095,0.8260869565217391,0.9120370370370371
0.001,10.0,5.0,64.0,2.0,2.0,0.2,0.1,0.1,0.8095238095238095,0.8260869565217391,0.8217592592592592
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.8095238095238095,0.8260869565217391,0.9074074074074074
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.8095238095238095,0.8260869565217391,0.900462962962963
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.8095238095238095,0.8260869565217391,0.8842592592592592
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.8095238095238095,0.8260869565217391,0.9004629629629629
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.1,0.8095238095238095,0.8260869565217391,0.8564814814814815
0.001,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.8095238095238095,0.8260869565217391,0.9004629629629629
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.8095238095238095,0.8260869565217391,0.8958333333333335
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.8095238095238095,0.8260869565217391,0.9143518518518519
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.1,0.8095238095238095,0.8260869565217391,0.8657407407407408
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.8095238095238095,0.8260869565217391,0.8796296296296297
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.8095238095238095,0.8260869565217391,0.8634259259259259
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.8095238095238095,0.8260869565217391,0.8912037037037037
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.8095238095238095,0.8260869565217391,0.8703703703703705
0.001,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.8095238095238095,0.8260869565217391,0.8726851851851852
0.001,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.1,0.8095238095238095,0.8260869565217391,0.875
0.001,30.0,5.0,64.0,3.0,2.0,0.1,0.1,0.2,0.8095238095238095,0.8260869565217391,0.8703703703703703
0.05,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.8095238095238095,0.8260869565217391,0.8518518518518519
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.8095238095238095,0.8260869565217391,0.9027777777777778
0.001,30.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.8095238095238095,0.8260869565217391,0.8819444444444444
