n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,2,2,0.9545454545454546,0.9565217391304348
30,5,5,1,0.9545454545454546,0.9523809523809523
20,5,10,1,0.9545454545454546,0.9523809523809523
30,5,2,1,0.9090909090909091,0.9166666666666666
30,5,5,2,0.9090909090909091,0.9166666666666666
10,3,2,1,0.9090909090909091,0.9090909090909091
10,5,2,1,0.9090909090909091,0.9090909090909091
10,3,10,4,0.9090909090909091,0.9090909090909091
10,5,10,4,0.9090909090909091,0.9090909090909091
10,3,10,1,0.9090909090909091,0.9090909090909091
30,3,5,1,0.9090909090909091,0.9090909090909091
20,5,2,2,0.9090909090909091,0.9090909090909091
20,3,10,4,0.9090909090909091,0.9090909090909091
30,3,5,2,0.9090909090909091,0.9090909090909091
20,5,10,4,0.9090909090909091,0.9090909090909091
30,3,2,1,0.9090909090909091,0.9090909090909091
10,3,10,2,0.9090909090909091,0.9090909090909091
30,3,2,2,0.9090909090909091,0.9090909090909091
10,3,5,2,0.9090909090909091,0.9
10,5,10,2,0.9090909090909091,0.9
10,3,2,2,0.9090909090909091,0.9
10,5,2,4,0.8636363636363636,0.8695652173913043
20,5,5,4,0.8636363636363636,0.8695652173913043
20,3,2,1,0.8636363636363636,0.8695652173913043
10,5,5,4,0.8636363636363636,0.8695652173913043
20,5,2,4,0.8636363636363636,0.8695652173913043
20,3,2,2,0.8636363636363636,0.8571428571428571
30,5,5,4,0.8636363636363636,0.8571428571428571
30,5,10,1,0.8636363636363636,0.8571428571428571
30,3,5,4,0.8636363636363636,0.8571428571428571
30,3,10,1,0.8636363636363636,0.8571428571428571
20,3,5,1,0.8636363636363636,0.8571428571428571
30,3,10,4,0.8636363636363636,0.8571428571428571
30,5,2,4,0.8636363636363636,0.8571428571428571
30,3,2,4,0.8636363636363636,0.8571428571428571
30,5,10,2,0.8636363636363636,0.8571428571428571
10,3,5,1,0.8636363636363636,0.8421052631578947
20,5,5,2,0.8181818181818182,0.8181818181818182
30,3,10,2,0.8181818181818182,0.8181818181818182
20,5,10,2,0.8181818181818182,0.8181818181818182
20,3,10,2,0.8181818181818182,0.8181818181818182
20,3,5,2,0.8181818181818182,0.8181818181818182
20,3,10,1,0.8181818181818182,0.8181818181818182
10,5,10,1,0.8181818181818182,0.8181818181818182
10,5,5,1,0.8181818181818182,0.8181818181818182
20,5,2,1,0.8181818181818182,0.8181818181818182
30,5,10,4,0.8181818181818182,0.8181818181818182
10,3,2,4,0.8181818181818182,0.8
10,3,5,4,0.8181818181818182,0.8
10,5,5,2,0.8181818181818182,0.8
10,5,2,2,0.8181818181818182,0.8
20,5,5,1,0.8181818181818182,0.8
20,3,2,4,0.7727272727272727,0.7619047619047619
20,3,5,4,0.7727272727272727,0.7619047619047619
