n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,20,sqrt,2,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7469135802469136
10,10,log2,2,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7592592592592592
10,30,log2,10,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,10,sqrt,10,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,20,sqrt,10,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,sqrt,10,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,10,log2,10,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,20,log2,10,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,log2,10,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,20,log2,10,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,10,log2,10,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,sqrt,10,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,20,sqrt,10,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,10,sqrt,10,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,log2,2,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7592592592592592
10,20,log2,2,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7592592592592592
10,10,sqrt,2,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7469135802469136
10,10,log2,10,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,log2,10,2,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,30,sqrt,2,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7592592592592592
10,20,sqrt,2,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7592592592592592
10,10,sqrt,2,1,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7592592592592592
10,20,log2,10,2,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,10,log2,10,2,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,10,sqrt,10,2,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,30,log2,10,2,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,20,log2,10,2,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,10,log2,10,2,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,10,sqrt,10,2,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,20,sqrt,10,2,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,30,sqrt,10,2,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,20,sqrt,10,2,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,20,log2,10,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,log2,10,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,sqrt,10,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,sqrt,5,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7283950617283951
10,30,sqrt,2,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7469135802469136
10,30,log2,10,2,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,20,log2,10,2,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,10,log2,10,2,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,10,log2,2,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7469135802469136
10,20,log2,2,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7469135802469136
10,30,sqrt,10,2,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,20,sqrt,10,2,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,10,sqrt,10,2,30,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,30,log2,2,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7469135802469136
10,10,sqrt,5,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7283950617283951
10,20,sqrt,5,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7283950617283951
10,20,sqrt,10,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,sqrt,10,2,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7037037037037037
10,10,sqrt,10,1,20,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7160493827160495
10,30,log2,5,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7283950617283951
10,20,log2,5,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7283950617283951
10,10,log2,5,1,10,0.7777777777777778,0.75,0.8571428571428571,0.6666666666666666,0.7283950617283951
10,10,log2,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7283950617283951
20,30,sqrt,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
10,30,log2,5,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7037037037037037
30,20,log2,2,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7098765432098766
20,10,log2,5,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
20,20,log2,5,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
20,30,log2,5,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
30,10,log2,2,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7098765432098766
20,10,sqrt,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
20,20,sqrt,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
10,30,log2,5,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.6975308641975309
10,30,sqrt,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7283950617283951
10,20,sqrt,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7283950617283951
30,30,sqrt,2,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7098765432098766
10,10,sqrt,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7283950617283951
30,20,sqrt,2,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7098765432098766
30,10,sqrt,2,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7098765432098766
30,30,log2,2,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7098765432098766
20,10,sqrt,10,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7654320987654321
10,20,log2,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7283950617283951
10,20,log2,5,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7037037037037037
10,30,log2,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7283950617283951
20,10,log2,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
10,20,log2,5,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.6975308641975309
10,10,log2,5,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.6975308641975309
10,30,sqrt,5,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.6975308641975309
10,20,sqrt,5,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.6975308641975309
10,10,sqrt,5,1,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.6975308641975309
30,30,sqrt,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7654320987654321
20,20,log2,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
20,30,log2,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7530864197530864
30,20,log2,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7654320987654321
30,30,log2,2,2,20,0.7222222222222222,0.7058823529411765,0.75,0.6666666666666666,0.7654320987654321
