hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.8,0.86,0.8257575757575757
128.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.7714285714285715,0.84,0.8295454545454546
256.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.7857142857142857,0.8387096774193549,0.7755681818181819
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.7571428571428571,0.8316831683168316,0.7888257575757576
256.0,0.0005,10.0,64.0,0.2,4.0,2.0,0.7571428571428571,0.8316831683168316,0.793560606060606
128.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.7571428571428571,0.8247422680412371,0.7613636363636364
128.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.7142857142857143,0.8245614035087719,0.6704545454545454
128.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.7714285714285715,0.8222222222222222,0.803030303030303
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.7142857142857143,0.8214285714285714,0.7840909090909092
128.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.7428571428571429,0.82,0.7888257575757577
128.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.7285714285714285,0.819047619047619,0.7462121212121211
128.0,0.001,10.0,64.0,0.3,4.0,2.0,0.7142857142857143,0.8181818181818182,0.7793560606060606
128.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.7,0.8173913043478261,0.6884469696969696
128.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.7428571428571429,0.8163265306122449,0.7831439393939393
128.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.7428571428571429,0.8163265306122449,0.7727272727272727
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.7428571428571429,0.8163265306122449,0.703125
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.7,0.8108108108108109,0.7026515151515151
256.0,0.001,10.0,32.0,0.2,8.0,6.0,0.6857142857142857,0.8103448275862069,0.6912878787878789
128.0,0.001,10.0,32.0,0.3,8.0,4.0,0.6857142857142857,0.8103448275862069,0.6751893939393939
128.0,0.001,10.0,32.0,0.3,8.0,2.0,0.6857142857142857,0.8103448275862069,0.6751893939393939
128.0,0.001,10.0,64.0,0.2,4.0,4.0,0.6857142857142857,0.8103448275862069,0.7178030303030303
128.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.6857142857142857,0.8103448275862069,0.7594696969696969
128.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.6857142857142857,0.8103448275862069,0.7367424242424243
256.0,0.001,20.0,64.0,0.2,4.0,2.0,0.6857142857142857,0.8103448275862069,0.6278409090909091
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.6857142857142857,0.8103448275862069,0.6723484848484849
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.6857142857142857,0.8103448275862069,0.6590909090909092
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.6857142857142857,0.8103448275862069,0.6789772727272726
128.0,0.001,20.0,32.0,0.3,4.0,2.0,0.6857142857142857,0.8103448275862069,0.6571969696969697
128.0,0.0005,10.0,64.0,0.2,8.0,2.0,0.6857142857142857,0.8070175438596491,0.7178030303030303
128.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.6857142857142857,0.8070175438596491,0.7878787878787881
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.6714285714285714,0.8034188034188035,0.7244318181818181
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.678030303030303
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6638257575757576
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.6714285714285714,0.8034188034188035,0.4876893939393939
128.0,0.001,20.0,64.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6685606060606061
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6884469696969697
128.0,0.001,10.0,64.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6827651515151515
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6534090909090909
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6818181818181818
256.0,0.001,10.0,64.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6420454545454546
256.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6496212121212122
256.0,0.001,20.0,32.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.7054924242424243
128.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.7452651515151515
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.696969696969697
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.6856060606060606
256.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.6751893939393939
128.0,0.001,20.0,32.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.6732954545454546
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.3702651515151515
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.6714285714285714,0.8034188034188035,0.7395833333333333
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.7424242424242424
128.0,0.001,10.0,64.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.3560606060606061
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.668560606060606
256.0,0.001,20.0,64.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.6837121212121211
128.0,0.001,10.0,32.0,0.2,4.0,6.0,0.6714285714285714,0.8034188034188035,0.7149621212121211
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.7272727272727273
256.0,0.001,20.0,64.0,0.2,8.0,4.0,0.6714285714285714,0.8034188034188035,0.3522727272727273
128.0,0.001,20.0,64.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.618371212121212
128.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.7348484848484849
256.0,0.001,20.0,64.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.6931818181818181
256.0,0.001,10.0,32.0,0.3,8.0,4.0,0.6714285714285714,0.8034188034188035,0.6496212121212122
