accuracy,precision,recall,f1_score,auc
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.7368421052631579,1.0,0.0,0.6251993620414673,0.5
0.5263157894736842,0.16666666666666666,0.2,0.5390749601275917,0.42857142857142855
