hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
32.0,3.0,0.1,0.01,8.0,10.0,0.8518518518518519,0.84880174291939,0.8559670781893004,0.8518518518518519,0.7443181818181819
32.0,1.0,0.0,0.001,8.0,50.0,0.8518518518518519,0.84880174291939,0.8559670781893004,0.8518518518518519,0.7443181818181819
128.0,1.0,0.2,0.0005,8.0,25.0,0.8148148148148148,0.8132114798781466,0.8139433551198257,0.8148148148148148,0.7840909090909091
64.0,3.0,0.2,0.0005,32.0,50.0,0.8148148148148148,0.8132114798781466,0.8139433551198257,0.8148148148148148,0.7727272727272727
128.0,1.0,0.1,0.01,16.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7102272727272727
32.0,5.0,0.1,0.0005,8.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.875
32.0,3.0,0.2,0.001,32.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7329545454545454
32.0,1.0,0.2,0.001,32.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.75
32.0,5.0,0.1,0.001,8.0,10.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7784090909090909
64.0,1.0,0.2,0.0005,32.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7386363636363636
32.0,3.0,0.0,0.01,16.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7670454545454546
64.0,1.0,0.2,0.001,8.0,10.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7556818181818182
32.0,3.0,0.2,0.0005,8.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.8238636363636364
64.0,3.0,0.2,0.001,8.0,10.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7727272727272727
128.0,3.0,0.0,0.001,8.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7159090909090909
32.0,1.0,0.0,0.001,32.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7386363636363636
64.0,3.0,0.2,0.0005,8.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7556818181818181
32.0,1.0,0.2,0.001,8.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7613636363636364
128.0,1.0,0.1,0.0005,8.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7784090909090909
32.0,1.0,0.2,0.0005,16.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7840909090909091
32.0,3.0,0.2,0.001,16.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.75
32.0,5.0,0.2,0.001,32.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7045454545454546
32.0,3.0,0.2,0.01,16.0,50.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7386363636363636
128.0,5.0,0.2,0.001,16.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.75
32.0,5.0,0.0,0.0005,8.0,10.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.8068181818181818
32.0,3.0,0.2,0.001,32.0,25.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7329545454545454
64.0,3.0,0.0,0.0005,32.0,10.0,0.8148148148148148,0.8081314397103869,0.824317738791423,0.8148148148148148,0.7613636363636364
