hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
32.0,5.0,0.0,0.01,32.0,50.0,0.875,0.8727272727272727,0.8739495798319328,0.875,0.84375
64.0,3.0,0.1,0.01,16.0,25.0,0.8333333333333334,0.837037037037037,0.8523809523809524,0.8333333333333334,0.8125
32.0,5.0,0.2,0.001,32.0,50.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7734375
128.0,1.0,0.1,0.01,32.0,25.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.828125
32.0,1.0,0.2,0.001,32.0,25.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.6875
128.0,1.0,0.2,0.001,32.0,50.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.78125
128.0,1.0,0.1,0.0005,32.0,25.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.8046875
64.0,5.0,0.1,0.01,16.0,50.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.84375
128.0,1.0,0.0,0.001,32.0,25.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.78125
128.0,5.0,0.1,0.001,16.0,10.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.8046875
32.0,3.0,0.1,0.001,32.0,50.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.765625
64.0,1.0,0.2,0.001,32.0,25.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.8125
128.0,3.0,0.2,0.01,32.0,25.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.8359375
64.0,5.0,0.2,0.01,32.0,25.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.8203125
32.0,5.0,0.2,0.0005,16.0,10.0,0.8333333333333334,0.8263305322128852,0.8333333333333334,0.8333333333333334,0.7109375
128.0,5.0,0.0,0.001,16.0,10.0,0.8333333333333334,0.8148148148148148,0.8666666666666667,0.8333333333333334,0.7265625
128.0,5.0,0.1,0.001,32.0,10.0,0.8333333333333334,0.8148148148148148,0.8666666666666667,0.8333333333333334,0.7421875
128.0,3.0,0.1,0.001,32.0,25.0,0.8333333333333334,0.8148148148148148,0.8666666666666667,0.8333333333333334,0.8359375
